Food(100gm),Calories,Protein(gm),Fat(gm),Carbohydrate(gm),Cholestrol
banana,89,1.1,0.3,23,0
avacado,160,2,15,9,0
watermelon,30,0.6,0.2,8,0
pineapple,50,0.5,0.1,13,0
strawberry,33,0.7,0.3,8,0
apple,52,0.3,0.2,14,0
mango,60,0.8,0.4,15,0
orange,47,0.9,0.1,12,0
cherry,50,1,0.3,12,0
coconut,354,3.3,33,15,0
grape,67,0.6,0.4,17,0
kiwi,61,1.1,0.5,15,0
pomegranate,83,1.7,1.2,19,0
cheese,402,25,33,1.3,0.105
egg,155,13,11,1.1,0.373
meat,143,26,3.5,0,0.073
tomato,18,0.9,0.2,3.9,0
potato,77,2,0.1,17,0
brinjal,25,1,0.2,6,0
chocolate,546,4.9,31,61,0.008
rice,130,2.7,0.3,28,0
chapati,170,5.84,1.55,32.5,0.003
carrot,41,0.9,0.2,9.6,0
bottle gourd,15,0.6,0,3.7,0
capsicum,40,2,0.2,9,0
almond,579,21,50,22,0
cashew,157,5.17,12.43,8.56,0
jackfruit,95,1.7,0.6,23,0
idli,135,6.36,0.62,26.31,0
beer,43,0.46,0,3.55,0
brandy,231,0,0,0,0
whiskey,250,0,0,0.1,0
vodka,231,0,0,0,0
rum,231,0,0,0,0
dosa,212,5.03,2.07,42.48,0
vada,365,7.5,21,35,0
"spinach	",23,2.86,0.39,3.63,0
coriander,23,2.13,0.52,3.67,0
onion,42,0.92,0.08,10.11,0
mushroom,22,3.09,0.34,0.34,0
cabbage,24,1.44,0.12,5.58,0
peas,91,5.42,0.4,14.46,0
broccoli,34,2.82,0.37,6.64,0
cauliflower,25,1.98,0.1,5.3,0
cucumber,12,0.59,0.16,2.16,0
pumpkin,26,1,0.1,6.5,0
sweet corn,86,3.22,1.18,19.02,0
yogurt,99,3.98,1.15,18.64,0.005
ice cream,201,3.52,10.72,24.4,0.04
french fries,274,3.84,14.06,35.66,0

